Last Name,First Name,Gender,White?,Number of Books,Books,Overall Rating,Readings
Abercombie,Joe,Male,checked,1,The Blade Itself,1.0,2014-09-29
Addison,Katherine,Female,checked,1,The Goblin Emperor,2.0,2015-05-29
Anders,Charlie Jane,Female,checked,2,"All The Birds In the Sky,The City in the Middle of the Night",2.0,2016-07-12
Anderson,Dianna,Female,checked,1,Damaged Goods,1.0,
Anderson,Kevin,Male,checked,1,The Dark Between the Stars,1.0,"2015-02-24,2015-06-05"
Atwood,Margaret,Female,checked,1,The Handmaid's Tale,2.0,2014-11-18
Bacigalupi,Paolo,Male,checked,1,The Water Knife,2.0,2015-10-29
Banks,Ian,Male,checked,2,"Consider Phlebas,The Player of Games",1.0,"2016-08-24,2016-09-12"
Bear,Greg,Male,checked,2,"Darwin's Children,Darwin's Radio",NaN,2014-04-19
Beckett,Chris,Male,checked,1,Dark Eden,1.0,2014-06-30
Beukes,Lauren,Female,checked,1,Zoo City,3.0,2014-07-06
Brin,David,Male,checked,1,Startide Rising,2.0,2014-04-12
Buber,Martin,Male,checked,1,I And Thou,2.0,2014-09-23
Bujold,Lois McMaster,Female,checked,10,"Penric's Demon,The Warrior's Apprentice,The Curse of Chalion,Paladin of Souls,Gentleman Jole and the Red Queen,Penric and the Shaman,Penric’s Fox,Penric’s Mission,Mira’s Last Dance,The Prisoner of Limnos",2.0,"2016-06-08,2016-08-24,2016-10-10,2016-10-20"
Butcher,Jim,Male,checked,2,"Skin Game,The Aeronaut's Windlass",2.0,"2015-06-14,2016-05-08"
Butler,Octavia,Female,,4,"Dawn,Adulthood Rites,Imago,Parable of the Sower",2.3,"2014-01-12,2014-01-20,2014-05-30"
Cadre,Adam,Male,,1,"""Ready, OK!""",3.0,2015-12-03
Chambers,Becky,Female,checked,4,"""The Long Way to a Small, Angry Planet"",A Closed & Common Orbit,Record of a Spaceborn Few,""To Be Taught, If Fortunate""",2.0,"2016-10-27,2017-04-13"
Cheng,Patrick,Male,,1,Radical Love,2.0,2014-08-20
Cherryh,C. J.,Female,checked,22,"Regenesis,Foreigner,Invader,Inheritor,Precursor,Cyteen,Defender,Explorer,Destroyer,Pretender,Deliverer,Conspirator,Deceiver,Betrayer,Intruder,Protector,Peacemaker,Tracker,Visitor,Convergence,Emergence,Resurgence",NaN,2015-05-12
Cho,Zen,Female,,1,Sorcerer to the Crown,2.0,2015-11-18
Clarke,Susanna,Female,checked,1,Jonathan Strange & Mr. Norrell,3.0,2015-07-30
Coleman,Steve,Male,checked,5,"The Bob Caller's Companion,The Method Ringer's Companion,The Bellringer's Bedside Companion,The Bellringer's Early Companion,The Ringing in History Companion",2.8,"2015-09-01,2015-09-01,2015-12-27,2015-12-30,2016-02-22"
Constable,Kate,Female,checked,1,Singer of All Songs,2.0,2014-07-03
Corey,S. A.,Male,checked,7,"Leviathan Wakes,Caliban's War,Abaddon's Gate,Cibola Burn,Nemesis Games,Babylon's Ashes,Persepolis Rising",2.0,"2015-12-27,2016-01-03,2016-01-09,2016-01-17,2016-01-27,2016-12-22"
Davies,,Male,checked,1,Stedman,3.0,2016-02-15
Dick,Phillip K.,Male,checked,1,Do Androids Dream of Electronic Sheep?,3.0,2014-07-25
Dickinson,Seth,Male,checked,2,"The Traitor Baru Cormorant,The Monster Baru Cormorant",2.3,2016-07-06
Farmer,Nancy,Female,checked,1,"""The Ear, the Eye, and the Arm""",3.0,2017-03-26
Friedmann,Robert,Male,checked,1,The Theology of Anabaptism,2.0,2014-03-15
Gaiman,Neal,Male,checked,2,"Good Omens,American Gods",2.5,"2016-04-20,2016-08-10"
Ghosh,Amitav,Male,,1,The Calcutta Chromosome,1.0,2014-12-25
Gibson,William,Male,checked,1,The Peripheral,2.0,2016-02-09
Glewwe,Eleanor,Female,,2,"Sparkers,Wildings",2.0,"2014-10-03,2017-04-01"
Griffith,Nicola,Female,checked,1,Hild,3.0,2014-06-13
Grossman,Lev,Male,checked,3,"The Magicians,The Magician King,The Magician's Land",2.0,"2016-02-18,2016-03-05,2016-03-08"
Hamilton,Peter,Male,checked,2,"Pandora's Star,Judas Unchained",2.0,"2015-03-04,2015-03-20"
Hammer,Steve,Male,checked,1,Lithops: Treasures of the Veld,3.0,2014-10-10
Harrison,M. John,Male,checked,1,Nova Swing,1.0,2014-09-01
Hartman,Rachel,Female,checked,3,"Seraphina,Shadow Scale,Tess of the Road",2.8,"2014-05-28,2015-03-28"
Hurley,Kameron,Female,checked,2,"The Stars are Legion,The Light Brigade",2.0,2017-04-19
Jemisin,N. K.,Female,,8,"The Hundred-Thousand Kingdoms,The Broken Kingdoms,The Kingdom of the Gods,The Fifth Season,The Obelisk Gate,The Killing Moon,The Shadowed Sun,The Stone Sky",2.5,"2015-06-16,2015-06-28,2015-06-30,2015-12-07,2016-02-25,2016-08-22,2017-01-23,2017-02-09"
Kay,Guy Gavriel,Male,checked,2,"Sailing to Sarantium,Lord of Emperors",2.5,"2015-01-04,2015-01-19"
Lafferty,Mur,Female,checked,1,Six Wakes,2.0,2017-02-20
Leckie,Ann,Female,checked,5,"Ancillary Justice,Ancillary Sword,Ancillary Mercy,Provenance,The Raven Tower",2.6,"2014-04-28,2014-10-10,2014-10-12,2015-10-10"
Lee,Yoon Ha,Male,,3,"Ninefox Gambit,Raven Stratagem,Revenant Gun",2.4,2016-07-02
Liu,Cixin,Male,,1,The Three-Body Problem,2.0,2015-06-10
MacLeod,Ian,Male,checked,1,Song of Time,2.0,2014-08-24
Mandel,Emily St. John,Female,checked,1,Station Eleven,2.0,2016-06-16
McGrath,Alister,Male,checked,3,"Theology,Reformation Thought: An Introduction,Luther's Theology of the Cross",2.0,"2014-02-01,2014-04-04,2014-05-06"
Miéville,China,Male,checked,4,"The City & The City,Railsea,Perdido Street Station,Iron Council",2.3,"2014-05-13,2014-06-04,2014-10-29,2014-12-13"
Miller,Robin,Male,checked,3,"Book of Atrus,Book of Ti'ana,Book of D'ni",1.7,"2015-01-31,2015-02-01,2015-02-05"
Morgan,Richard,Male,checked,1,Black Man,1.0,2014-07-26
Morgenstern,Erin,Female,checked,1,The Night Circus,2.0,2015-07-15
Morris,Ernest,Male,checked,1,History & Art of Change Ringing,3.0,2015-12-15
NAGCR,,NA,checked,1,There Was Life Before NAG,2.0,2016-03-08
Ness,Patrick,Male,checked,1,The Knife of Never Letting Go,1.0,2016-06-25
Nix,Garth,Male,checked,13,"Sabriel,Lyrael,Abhorsen,Clariel,Goldenhand,Shade's Children,Mister Monday,Grim Tuesday,Drowned Wednesday,Sir Thursday,Lady Friday,Superior Saturday,Lord Sunday",2.2,"2015-01-20,2015-01-25,2015-01-30,2015-02-10"
North,Claire,Female,checked,1,The Sudden Appearance of Hope,2.0,2016-06-29
Novik,Naomi,Female,checked,2,"Uprooted,Spinning Silver",2.5,2015-06-06
Okorofor,Nnedi,Female,,3,"Who Fears Death,Binti,Akata Witch",2.0,"2016-06-02,2016-06-07"
Palmer,Ada,Female,checked,3,"Too Like The Lightning,Seven Surrenders,The Will to Battle",3.0,"2016-06-22,2017-01-19,2017-03-12"
Pratchett,Terry,Male,checked,22,"""Guards, Guards!"",The Colour of Magic,Men at Arms,Feet of Clay,Good Omens,Mort,The Fifth Elephant,Night Watch,Thud!,Going Postal,Snuff,Jingo,Making Money,Raising Steam,The Wee Free Men,A Hat Full of Sky,Wintersmith,I Shall Wear Midnight,The Shepherd's Crown,Equal Rites,Unseen Academicals,Soul Music",1.9,"2015-08-19,2015-09-10,2015-12-20,2016-04-07,2016-04-20,2016-04-24"
Reynolds,Alastair,Male,checked,1,Slow Bullets,1.0,2016-06-08
Robinson,Kim Stanley,Male,checked,8,"Shaman,Galileo's Dream,Red Mars,Green Mars,Blue Mars,Aurora,New York 2140,Red Moon",2.3,"2014-06-23,2015-03-29,2015-04-10,2015-04-28,2015-05-25,2015-07-12,2016-04-11,2017-01-06"
Rogers,Jane,Female,checked,1,The Testament of Jessie Lamb,2.0,2014-07-12
Rothfuss,Patrick,Male,checked,3,"The Name of the Wind,The Wise Man's Fear,The Slow Regard of Silent Things",2.8,"2014-07-31,2014-08-07,2015-02-07,2017-04-01,2017-04-11"
Rowling,J. K.,Female,checked,7,"Harry Potter & The Sorceror's Stone,Harry Potter & The Chamber of Secrets,Harry Potter & The Prisoner of Azkaban,Harry Potter & The Goblet of Fire,Harry Potter & The Order of the Phoenix,Harry Potter & The Half Blood Prince,Harry Potter & The Deathly Hallows",3.0,"2016-07-08,2016-07-08,2016-07-13,2016-07-15,2016-07-20,2016-07-22,2016-07-24"
Russ,Joanna,Female,checked,1,We who are about to...,1.0,2016-08-17
Russell,Mary Doria,Female,checked,2,"The Sparrow,Children of God",2.5,"2016-03-16,2016-03-29"
Sanderson,John,Male,checked,3,"""Change Ringing: History of an English Art, volume 1"",""Change Ringing: History of an English Art, volume 2"",""Change Ringing: History of an English Art, volume 3""",NaN,
Sanderson,Brandon,Male,checked,1,Perfect State,1.0,"2015-12-15,2016-02-22,2016-06-08"
Scalzi,John,Male,checked,4,"Old Man's War,The Collapsing Empire,Lock In,Head On",1.8,2015-08-27
Schwab,V. E.,Female,checked,1,A Darker Shade of Magic,1.0,2016-05-13
Shawl,Nisi,Female,,1,Everfair,2.0,2017-01-10
Shurcliff,Margaret,Female,checked,1,Lively Days,3.0,2015-12-29
Simmons,Dan,Male,checked,3,"Rise of Endymion,Hyperion,Fall of Hyperion",2.3,2014-03-23
Soskice,Jane,Female,checked,2,"The Kindness of God,Metaphor and Religious Language",2.0,"2014-08-15,2014-12-23"
Stephenson,Neal,Male,checked,1,Seveneves,2.0,2015-05-28
Stross,Charlie,Male,checked,15,"Neptune's Brood,The Family Trade,The Hidden Family,The Clan Corporate,The Merchants' War,The Revolution Business,The Trade of Queens,Empire Games,Dark State,The Atrocity Archives,The Jennifer Morgue,The Fuller Memorandum,The Apocalypse Codex,The Rhesus Chart,The Annihilation Score ",1.9,"2014-05-05,2017-02-22,2017-02-25,2017-03-07,2017-03-15,2017-03-19,2017-03-21,2017-03-23"
Tepper,Sheri,Female,checked,1,Grass,2.0,2016-11-15
VanderMeer,Jeff,Male,checked,4,"Annihilation,Authority,Acceptance,Borne",1.8,"2015-06-13,2015-08-08,2015-08-19"
Walton,Jo,Female,checked,3,"My Real Children,History of the Hugos,Among Others",NaN,2014-12-20
Ware,Thomas,Male,checked,1,The Orthodox Church,2.0,2014-06-21
Wein,Elizabeth,Female,checked,1,Code Name Verity,3.0,2015-07-04
Weir,Andrew,Male,checked,1,The Martian,2.0,2014-12-20
Wilde,Fran,Female,checked,3,"Updraft,Cloudbound,Horizon",2.0,2015-10-23
Willis,Connie,Female,checked,1,To Say Nothing of the Dog,2.0,2016-10-04
Wilson,Kai Ashante,Male,,1,The Sorcerer of the Wildeeps,2.0,2016-09-20
Yolen,Jane,Female,checked,1,Dragon's Blood,2.0,2015-12-27
Hairston,Andrea,Female,,1,Will Do Magic for Small Change,NaN,
Tchaikovsky,Adrian,Male,checked,2,"Children of Time,Cage of Souls",NaN,
Baker,Mishell,Female,checked,0,,NaN,
Doctorow,Cory,Male,checked,2,"Walkaway,""Someone Comes to Town, Someone Leaves Town""",2.0,
Meadows,Foz,Female,checked,1,An Accident of Stars,NaN,
Tidbeck,Karen,Female,checked,1,Amatka,2.0,
Yuknavitch,Lidia,Female,checked,0,,NaN,
Alexander,Lloyd,Male,checked,1,The Book of Three,2.0,
Lynch,Scott,Male,checked,3,"The Lies of Locke Lamora,Red Seas Under Red Skies,The Republic of Thieves",2.0,
Mathews-Green,Frederica,Female,checked,1,The Jesus Prayer,2.0,
Le Guin,Ursula,Female,checked,4,"The Left Hand of Darkness,Rocannon’s World,Planet of Exile,The Beginning Place",2.0,
Drayden,Nicky,Female,,1,The Prey of the Gods,2.0,
McGuire,Seanan,Female,checked,8,"Rosemary and Rue,A Local Habitation,Every Heart a Doorway,Down Among the Sticks and Bones,Beneath the Sugar Sky,In an Absent Dream,Middlegame,Come Tumbling Down",2.2,
Nagata,Linda,Female,,2,"First Light,The Last Good Man",2.0,
Wells,Martha,Female,checked,1,All Systems Red,2.0,
Stearns,R.A.,Female,checked,1,Barbary Station,1.0,
Kiernan,Caitlin,Female,checked,1,Agents of Dreamland,NaN,
Kress,Nancy,Female,checked,1,Tomorrow's Kin,2.0,
Parker,K.J.,Male,checked,1,Mightier Than the Sword,NaN,
Gladstone,Max,Male,checked,7,"Three Parts Dead,Two Serpents Rise,Last First Snow,Four Roads Cross,Full Fathom Five,This Is How You Lose The Time War,Empress of Forever",2.0,
Newitz,Annalee,Female,checked,1,Autonomous,3.0,
Storbakken,,Male,checked,1,Radical Spirituality,NaN,
Pullman,Phillip,Male,checked,6,"The Golden Compass,The Subtle Knife,The Amber Spyglass,Once Upon a Time in the North,La Belle Sauvage,The Secret Commonwealth",2.5,
Moriarty,Chris,Female,checked,1,Spin State,2.0,
Newman,Emma,Female,checked,4,"Planetfall,After Atlas,Before Mars,Atlas Alone",2.0,
Shroyer,,Male,checked,1,Original Blessing,NaN,
Sayers,Dorothy,Female,checked,4,"The Nine Tailors,Strong Poison,Have His Carcase,Gaudy Night",2.0,
Hopkinson,Nalo,Female,,4,"Midnight Robber,Sister Mine,The New Moon's Arms,Brown Girl in the Ring",2.5,
Solomon,Rivers,Nonbinary,,1,An Unkindness of Ghosts,2.0,
Palwick,Susan,Female,checked,1,The Necessary Beggar,3.0,
Dalaney,Samuel,Male,,1,Neverÿon,NaN,
Bolander,Brooke,Female,checked,1,The Only Great Harmless Thing,NaN,
Martine,Arkady,Female,checked,1,A Memory Called Empire,2.0,
Kuang,R. F.,Female,,1,The Poppy War,2.0,
Griffin,Kate,Female,checked,1,A Madness of Angels,NaN,
Adeyemi,Tomi,Female,,1,Children of Blood and Bone,2.0,
Stewart,George,Male,checked,1,Earth Abides,3.0,
Chakraborty,S.A.,Female,,2,"City of Brass,City of Copper",2.0,
Polk,C.L.,Female,,1,Witchmark,2.0,
Dimaline,Cherie,Female,,1,The Marrow Thieves,2.0,
Wilson,Daniel,Male,,1,Robopocalypse,NaN,
Elliot,Kate,Female,checked,7,"Cold Magic,Cold Fire,Spirit Gate,Cold Steel,Court of Fives,Poison Blade,Buried Heart",NaN,
Thompson,Tade,Male,,1,Rosewater,2.0,
Yang,Jy,Nonbinary,,4,"The Black Tides of Heaven,The Red Threads of Fortune,The Descent of Monsters,The Ascent to Godhood",2.0,
Bennett,Robert,Male,checked,1,City of Stairs,1.0,
Samatar,Sofia,Female,,1,A Stranger in Solondria,NaN,
Lord,Karen,Female,,2,"Redemption in Indigo,Unravelling",1.5,
Kornher-Stace,Nicole,Female,checked,1,Archivist Wasp,1.0,
Roanhorse,Rebecca,Female,,1,Trail of Lightning,2.0,
Heilig,Heidi,Female,checked,1,The Girl From Everywhere,2.0,
Ng,Jeannette,Female,,1,Under the Pendulum Sun,2.0,
Lee,Fonda,Female,,1,Jade City,2.0,
Holmberg,Charlie,Female,checked,1,The Paper Magician,NaN,
Soria,Destiny,Female,,1,Iron Cast,NaN,
Clark,P. Djeli,Male,,1,The Black God's Drums,2.0,
Pierce,Tamora,Female,checked,21,"Terrier,Alanna: The First Adventure,In the Hand of the Goddess,Bloodhound,The Woman Who Rides Like a Man,Mastiff,Lioness Rampant,Sandry's Book,Tris' Book,Trickster's Choice,Trickster's Queen,Daja's Book,Briar's Book,Magic Steps,Street Magic,Cold Fire,Shatterglass,The Will of the Empress,Melting Stones,First Test,Tempest and Slaughter",2.1,
Green,Hank,Male,checked,1,An Absolutely Remarkable Thing,2.0,
Bear,Elizabeth,Female,checked,1,Ancestral Night,2.0,
Miller,Sam,Male,checked,1,Blackfish City,2.0,
Gailey,Sarah,Nonbinary,checked,2,"River of Teeth,Magic for Liars",2.5,
Fellman,Rachel,Female,checked,1,The Breath of the Sun,NaN,
McKinney,L.L.,Female,,1,A Blade So Black,2.0,
Onyebuchi,Tochi,Male,,1,Beasts Made of Night,2.0,
Okungbowa,Suyi Davies,Male,,1,"""David Mogo, Godhunter""",NaN,
Snyder,C. Arnold,Male,checked,1,Anabaptist History and Theology,2.0,
Kowal,Mary Robinette,Female,checked,2,"The Calculating Stars,The Fated Sky",3.0,
Hall,Kerstin,Female,checked,1,The Border Keeper,NaN,
Bancroft,Josiah,Male,checked,3,"Senlin Ascends,The Arm of the Sphinx,The Hod King",2.0,
Burke,Sue,Female,checked,1,Semiosis,NaN,
Saadawi,Ahmed,Male,,1,Frankenstein in Baghdad,NaN,
Stålenhag,Simon,Male,checked,1,The Electric State,NaN,
Whiteley,Aliya,Female,checked,1,The Loosening Skin,NaN,
Tutuola,Amos,Male,,1,The Palm-Wine Drinkard,NaN,
Okri,Ben,Male,,1,The Famished Road,NaN,
Fagunwa,D.O.,Male,,1,The Forest of a Thousand Daemons,NaN,
Rowell,Rainbow,Female,checked,1,Carry On,2.0,
Valente,Catherine,Female,checked,1,Space Opera,2.0,
Abraham,Daniel,Male,checked,3,"A Shadow in Summer,A Betrayal in Winter,An Autumn War",2.0,
Miller,Linsey,Female,checked,2,"Mask of Shadows,Ruin of Stars",2.0,
Arden,Katherine,Female,checked,3,"The Bear and the Nightingale,The Girl in the Tower,The Winter of the Witch",2.0,
Nelson,Maggie,Female,checked,1,The Argonauts,2.0,
Older,Malka,Female,checked,3,"Infomocracy,Null States,State Tectonics",2.0,
Wagers,K.B.,Nonbinary,checked,1,Behind the Throne,2.0,
Harrow,Alix,Female,,1,The Ten Thousand Doors of January,2.0,
Merbeth,Kristyn,Female,checked,1,Fortuna,2.0,
Rowland,Alexandra,Nonbinary,,1,A Conspiracy of Truths,2.0,
McCulloch,Gretchen,Female,checked,1,Because Internet,2.0,
Wynne Jones,Diana,Female,checked,3,"Charmed Life,The Lives of Christopher Chant,Conrad's Fate",2.0,
Emezi,Akwaeke,Nonbinary,,1,Freshwater,NaN,
Johnston,E. K. ,Female,checked,1,The Story of Owen,2.0,
Chevalier,Tracy,Female,checked,1,A Single Thread,2.0,
Dunkle,Clare,Female,checked,1,The Hollow Kingdom,2.0,
Oh,Temi,Female,,1,Do You Dream of Terra-Two?,2.0,
Wilson,Robert Charles,Male,checked,3,"Spin,Axis,Vortex",2.0,
El-Mohtar,Amal,Female,,1,This Is How You Lose The Time War,2.0,
Wilson,G. Willow,Female,checked,1,The Bird King,NaN,
Turnbull,Cadwell,Male,,1,The Lesson,2.0,
Bellamy,Edward,Male,checked,1,Looking Backward,2.0,
Chabon,Michael,Male,checked,1,The Yiddish Policeman’s Union,3.0,
McMullen,Sean,Male,checked,1,Souls in the Great Machine,1.0,
Young,Suzanne,Female,checked,1,Girls with Sharp Sticks,1.0,
Nouwen,Henri,Male,checked,1,Discernment,2.0,
Lee,Eeleen,Female,,1,Liquid Crystal Nightingale,NaN,
Lee,Cory,,,1,Weave the Lightning,NaN,
Muir,Tamsyn,Female,checked,1,Gideon the Ninth,1.0,
Stoecklin,Tina,Female,,1,Change-Ringing on Handbells,3.0,
Gay,Simon,Male,,1,Change-Ringing on Handbells,3.0,
Pears,Ian,Male,checked,1,An Instance of the Fingerpost,NaN,
Winter,Evan ,Male,,1,The Rage of Dragons,NaN,
Serpell,Namwalli,Female,,1,The Old Drift,NaN,